Iteration,AES256 Encryption (microseconds),Key Generation (microseconds),Signing (microseconds),Verification (microseconds)
326,133,976752,11707246,32082
327,137,975871,11693788,32383
328,126,978170,11697475,32817
329,133,977003,11698143,32354
330,134,973298,11674067,31893
331,122,975617,11706678,32915
332,135,976526,11686656,31926
333,142,975793,11687699,32129
334,128,976153,11686577,33351
335,127,976782,11705158,32137
336,130,974496,11688122,31871
337,122,978134,11702033,33850
338,135,976344,11694535,30504
339,122,976978,11731883,32914
340,115,976076,11688168,32905
341,117,976515,11707990,27986
342,117,976983,11696732,32348
343,116,976266,11710218,32541
344,116,975676,11691149,33196
345,135,974791,11679957,33701
346,121,976789,11695152,31417
347,192,979353,11708280,32197
348,123,975099,11693115,34546
349,122,976681,11704528,31699
350,130,981829,11714077,32086
351,123,983510,11712522,31534
352,126,977496,11715869,28340
353,120,975875,11704915,32584
354,122,978958,11704550,31988
355,122,979271,11705649,31689
356,124,975713,11700433,32768
357,127,976657,11686323,32318
358,126,975500,11713720,33247
359,134,975721,11693130,32233
360,123,980097,11675262,31510
361,122,981694,11699474,32642
362,127,973775,11715118,32990
363,124,976125,11691833,32612
364,123,978365,11701307,32414
365,127,976689,11710134,33511
366,128,973682,11708254,33278
367,135,979235,11717044,33759
368,122,977816,11706701,31582
369,122,978188,11700798,31704
370,130,973930,11712797,32133
371,172,975574,11697868,32049
372,122,975431,11701795,31956
373,123,976906,11704879,32109
374,135,977546,11699098,31543
375,123,975524,11701639,32694
376,127,979058,11699117,32283
377,124,976161,11700472,32459
378,122,977929,11688160,32179
379,129,974951,11701295,31904
380,127,975681,11707627,33064
381,166,977661,11711916,32663
382,122,976083,11698456,31782
383,124,977971,11691533,33239
384,126,975319,11686218,32364
385,159,976695,11714268,32435
386,121,977748,11696783,33604
387,123,979511,11712866,33733
388,122,975626,11704946,32222
389,129,975757,11694020,32889
390,135,977941,11690305,33170
391,129,976617,11697897,31935
392,136,976696,11674972,32329
393,123,974369,11696852,30718
394,122,977609,11688572,33740
395,125,977066,11701665,30190
396,128,977193,11700668,32332
397,129,976289,11719269,32088
398,123,976756,11691481,31796
399,121,975435,11699647,32012
400,121,975143,11686528,28241
401,129,975389,11701495,32983
402,122,975443,11687077,32208
403,122,974215,11720136,33431
404,122,974742,11702002,32926
405,122,977221,11701654,32811
406,128,974501,11704808,32155
407,136,977238,11701427,34263
408,138,982701,11707911,33523
409,121,974685,11699538,28700
410,124,976759,11718818,32581
411,129,977191,11709219,32494
412,130,974716,11696444,30446
413,125,979244,11704389,30731
414,127,979959,11686741,33245
415,135,976465,11703281,32424
416,128,975909,11692886,33646
417,133,976932,11712449,28127
418,135,976880,11706604,33332
419,136,978565,11703421,29662
420,134,976422,11714051,33839
421,125,978693,11697730,32288
422,121,976764,11707895,28913
423,135,976958,11695517,31074
424,121,973908,11709621,33046
