Iteration, Key Generation Time seconds, Shared Secret Time seconds, AES Encryption Time seconds, Key Generation Time seconds, Shared Secret Time seconds, AES Decryption Time seconds
122,0.002733,0.009514,0.000047,0.002733,0.009514,0.000022
123,0.002832,0.009611,0.000042,0.002832,0.009611,0.000022
124,0.002862,0.009447,0.000045,0.002862,0.009447,0.000025
125,0.002847,0.009661,0.000045,0.002847,0.009661,0.000025
126,0.002982,0.009685,0.000045,0.002982,0.009685,0.000024
127,0.002917,0.009945,0.000050,0.002917,0.009945,0.000025
128,0.002919,0.009872,0.000049,0.002919,0.009872,0.000024
129,0.003055,0.010039,0.000049,0.003055,0.010039,0.000022
130,0.002965,0.010135,0.000055,0.002965,0.010135,0.000024
131,0.003176,0.010416,0.000052,0.003176,0.010416,0.000026
132,0.003181,0.010992,0.000055,0.003181,0.010992,0.000026
133,0.003163,0.010592,0.000049,0.003163,0.010592,0.000028
134,0.003149,0.010180,0.000046,0.003149,0.010180,0.000025
135,0.003182,0.010350,0.000047,0.003182,0.010350,0.000024
136,0.003217,0.010659,0.000065,0.003217,0.010659,0.000026
137,0.003129,0.010750,0.000047,0.003129,0.010750,0.000026
138,0.003154,0.010447,0.000048,0.003154,0.010447,0.000026
139,0.003154,0.010275,0.000053,0.003154,0.010275,0.000025
140,0.003136,0.010621,0.000068,0.003136,0.010621,0.000024
141,0.003047,0.010204,0.000052,0.003047,0.010204,0.000024
142,0.003007,0.010017,0.000066,0.003007,0.010017,0.000026
143,0.002877,0.009591,0.000066,0.002877,0.009591,0.000026
144,0.002903,0.009599,0.000049,0.002903,0.009599,0.000025
145,0.002744,0.009519,0.000049,0.002744,0.009519,0.000025
146,0.003170,0.010586,0.000072,0.003170,0.010586,0.000033
147,0.003780,0.011939,0.000057,0.003780,0.011939,0.000029
148,0.003321,0.011856,0.000057,0.003321,0.011856,0.000027
149,0.003177,0.010620,0.000074,0.003177,0.010620,0.000027
150,0.003016,0.009901,0.000046,0.003016,0.009901,0.000024
151,0.003119,0.010255,0.000158,0.003119,0.010255,0.000033
152,0.003097,0.010534,0.000052,0.003097,0.010534,0.000034
153,0.003268,0.011864,0.000069,0.003268,0.011864,0.000028
154,0.003118,0.009866,0.000067,0.003118,0.009866,0.000025
155,0.002969,0.009891,0.000048,0.002969,0.009891,0.000025
156,0.003291,0.010043,0.000062,0.003291,0.010043,0.000029
157,0.002973,0.010306,0.000047,0.002973,0.010306,0.000025
158,0.003174,0.009912,0.000059,0.003174,0.009912,0.000025
159,0.003050,0.010358,0.000051,0.003050,0.010358,0.000025
160,0.003248,0.010527,0.000051,0.003248,0.010527,0.000026
161,0.003242,0.010629,0.000224,0.003242,0.010629,0.000031
162,0.003447,0.011335,0.000049,0.003447,0.011335,0.000026
163,0.003244,0.010500,0.000048,0.003244,0.010500,0.000027
164,0.003170,0.010240,0.000048,0.003170,0.010240,0.000026
165,0.003022,0.010097,0.000319,0.003022,0.010097,0.000036
