Iteration,Encapsulation (microseconds),AES256 Encryption (microseconds),Decapsulation (microseconds),AES256 Decryption (microseconds)
403,1460,133,1701,169
404,1413,134,1672,170
405,1408,196,1707,171
406,1398,141,1720,171
407,1448,140,1676,163
408,1400,135,1741,167
409,1413,134,1698,165
410,1437,135,1675,164
411,1413,135,1703,171
412,1398,134,1700,170
413,1405,134,1767,170
414,1444,134,1720,165
415,1422,135,1775,165
416,1447,140,1673,172
417,1475,134,1687,166
418,1442,134,1673,171
419,1409,140,1733,164
420,1407,134,1675,171
421,1444,134,1671,166
422,1443,135,1672,171
423,1454,133,1711,172
424,1406,139,1671,163
425,1407,134,1674,164
426,1402,135,1695,173
427,1403,133,1677,166
428,1400,133,1671,165
429,1399,133,1672,174
430,1472,134,1680,163
431,1435,133,1670,167
432,1441,134,1729,172
433,1460,134,1676,164
434,1449,134,1672,170
435,1440,134,1675,165
436,1432,134,1707,167
437,1407,134,1674,165
438,1446,136,1679,166
439,1403,136,1732,172
440,1406,140,1715,170
441,1407,135,1669,165
442,1472,140,1675,172
443,1411,140,1735,165
444,1422,134,1755,163
445,1398,134,1708,163
446,1409,134,1674,166
447,1397,134,1674,164
448,1409,141,1670,164
449,1460,139,1701,164
450,1398,134,1719,171
451,1400,134,1707,165
452,1414,134,1731,164
453,1402,134,1676,170
454,1453,136,1672,172
455,1398,139,1712,164
456,1395,134,1766,167
457,1435,135,1717,166
458,1404,133,1674,166
459,1446,133,1671,170
460,1411,133,1740,170
461,1461,134,1521,152
462,1406,134,1466,147
463,1448,140,1466,190
464,1409,133,1732,170
465,1486,141,2151,165
466,1482,135,1673,165
467,1544,133,1711,164
468,1408,133,1706,162
469,1480,134,1730,164
470,1400,135,1669,172
471,1408,139,1718,164
472,1407,134,1466,152
473,1414,134,1465,208
474,1404,140,1494,147
475,1399,140,1467,152
476,1459,141,1672,169
477,1449,143,1680,172
478,1396,134,1675,171
479,1441,134,1462,147
480,1407,135,1556,148
481,1459,134,1468,148
482,1399,140,1493,148
483,1441,134,1465,153
484,1407,140,1541,153
485,1461,134,1462,151
486,1400,140,1465,152
487,1402,141,1462,147
488,1439,134,1463,147
489,1408,133,1466,148
490,1400,134,1504,153
491,1398,140,1727,165
492,1411,133,1673,170
493,1406,139,1677,164
494,1430,134,1766,170
495,1408,134,1714,164
496,1701,171,1713,163
497,1640,155,1717,171
498,1632,192,1671,166
499,1691,154,1700,165
500,1435,134,1671,166
501,1400,140,1711,169
502,1400,142,1674,164
503,1420,135,1728,163
504,1421,134,1670,164
505,1448,140,1670,165
506,1399,141,1677,173
507,1408,134,2026,186
508,1456,133,1950,194
509,1450,134,1956,187
510,1409,134,1990,187
511,1448,133,1682,166
512,1406,133,1718,173
513,1400,144,1741,164
514,1402,135,1701,171
515,1407,135,1670,165
516,1430,134,1673,163
517,1439,133,1669,166
518,1403,135,1695,164
519,1448,135,1675,164
520,1407,134,1675,171
521,1401,134,1671,164
522,1444,134,1671,170
523,1442,139,1668,173
524,1411,139,1731,166
525,1402,134,1667,165
526,1443,140,1672,170
527,1396,133,1707,164
528,1399,133,1717,174
529,1412,139,1674,166
530,1407,140,1671,171
531,1420,133,1676,213
532,1413,140,1719,163
533,1410,134,1703,171
534,1400,133,1675,172
535,1401,140,1713,164
536,1404,141,1672,169
537,1448,134,1683,164
538,1442,133,1732,173
539,1432,140,1677,170
540,1403,137,1763,168
541,1400,139,1670,172
542,1441,140,1678,165
543,1450,134,1721,165
544,1400,134,1675,241
545,1402,140,1703,164
546,1398,134,1673,165
547,1400,141,1708,166
548,1403,141,1723,164
549,1401,135,1673,165
550,1410,141,1712,171
551,1410,140,1670,164
552,1445,141,1668,162
553,1398,133,1723,171
554,1439,135,1741,169
555,1431,140,1668,172
556,1450,134,1709,171
557,1402,140,1750,172
558,1455,134,1675,166
559,1445,140,1674,164
560,1402,133,1674,172
561,1437,142,1704,165
562,1405,141,1740,165
563,1469,134,1672,165
564,1447,134,1671,170
565,1464,135,1694,172
566,1399,140,1670,170
567,1433,134,1672,177
568,1476,133,1674,166
569,1399,134,1673,171
570,1408,133,1673,165
571,1408,134,1669,171
572,1405,134,1729,170
573,1460,133,1672,239
574,1410,134,1669,165
575,1455,134,1687,165
576,1434,141,1699,171
577,1479,133,1463,148
578,1407,140,1463,148
579,1401,134,1465,147
580,1441,141,1463,178
581,1452,140,1676,165
582,1414,133,1676,165
583,1426,135,1669,165
584,1408,140,1711,171
585,1405,140,1669,162
586,1448,134,1679,165
587,1486,135,1673,170
